ID,Year,TimetableType,Day,Lesson,Subject,Teacher,Room
139849,2019,2019 Year 7-12,1,2,10VAR 01,RJA,AC1
140905,2019,2019 Year 7-12,5,3,11VAR 02,RJA,AC2
139800,2019,2019 Year 7-12,1,1,12BIO 03,EKG,G3
140462,2019,2019 Year 7-12,3,4,07SCI 03,JZB,G4
139970,2019,2019 Year 7-12,1,6,12CHE 03,HCC,G6
140884,2019,2019 Year 7-12,5,2,08SCI 01,EW,G8
139879,2019,2019 Year 7-12,1,3,11DES 01,RJA,AC1
140939,2019,2019 Year 7-12,5,4,11VAR 02,RJA,AC2
140190,2019,2019 Year 7-12,2,4,07DRA 01,JLH,DC
140432,2019,2019 Year 7-12,3,4,12DTS 01,TPR,F1
139839,2019,2019 Year 7-12,1,2,12NUT 01,SML,G3
140550,2019,2019 Year 7-12,3,7,08SCI 05,SZH,G4
140009,2019,2019 Year 7-12,1,7,12CHE 02,HCC,G6
140238,2019,2019 Year 7-12,2,6,10SCE 02,SZH,G7
140926,2019,2019 Year 7-12,5,3,07SCI 04,JZB,G8
139929,2019,2019 Year 7-12,1,4,09DES 01,ACM,AC1
140999,2019,2019 Year 7-12,5,6,11PHO 01,LRS,AC2
140222,2019,2019 Year 7-12,2,6,12DRA 01,JLH,DC
139876,2019,2019 Year 7-12,1,3,11BIO 01,EKG,G3
140097,2019,2019 Year 7-12,2,2,11CHE 01,JXD,G6
140275,2019,2019 Year 7-12,2,7,10SCE 01,SLP,G7
139976,2019,2019 Year 7-12,1,6,11DES 02,RJA,AC1
140345,2019,2019 Year 7-12,3,1,09DRS 01,JLH,DC
140512,2019,2019 Year 7-12,3,6,09DID 01,TPR,F1
139914,2019,2019 Year 7-12,1,4,11BIO 02,SZH,G3
140745,2019,2019 Year 7-12,4,6,09SCI 03,GLW,G4
140132,2019,2019 Year 7-12,2,3,11CHE 02,HCC,G6
140352,2019,2019 Year 7-12,3,1,07SCI 01,EW,G7
140960,2019,2019 Year 7-12,5,4,07SCI 04,JZB,G8
140134,2019,2019 Year 7-12,2,3,11DES 01,RJA,AC1
141027,2019,2019 Year 7-12,5,7,12VAR 01,LRS,AC2
140012,2019,2019 Year 7-12,1,7,12NUT 02,SML,G3
140779,2019,2019 Year 7-12,4,7,09SCI 03,GLW,G4
140167,2019,2019 Year 7-12,2,4,11CHE 02,HCC,G6
140389,2019,2019 Year 7-12,3,2,07SCI 02,MAB,G7
141000,2019,2019 Year 7-12,5,6,11PHY 01,RJD,G8
140169,2019,2019 Year 7-12,2,4,11DES 01,RJA,AC1
139928,2019,2019 Year 7-12,1,4,09PHO 01,TWW,AC4
140388,2019,2019 Year 7-12,3,2,07DRA 01,JLH,DC
140603,2019,2019 Year 7-12,4,1,09DID 01,TPR,F1
140090,2019,2019 Year 7-12,2,2,12BIO 03,EKG,G3
158578,2019,2019 Year 7-12,5,1,12BIO 01,JXD,G4
140410,2019,2019 Year 7-12,3,3,10SCE 01,SLP,G7
141041,2019,2019 Year 7-12,5,7,10SCA 01,RJD,G8
140341,2019,2019 Year 7-12,3,1,09PHO 01,TWW,AC4
140514,2019,2019 Year 7-12,3,6,09DRY 01,JLH,DC
158581,2019,2019 Year 7-12,5,2,12BIO 01,JXD,G4
140446,2019,2019 Year 7-12,3,4,10SCE 01,SLP,G7
139810,2019,2019 Year 7-12,1,1,11GEO 01,DC,LS1
140227,2019,2019 Year 7-12,2,6,11DES 02,RJA,AC1
140510,2019,2019 Year 7-12,3,6,09PHO 02,TWW,AC4
140131,2019,2019 Year 7-12,2,3,11BIO 01,EKG,G3
140922,2019,2019 Year 7-12,5,3,08SCI 05,SZH,G4
140221,2019,2019 Year 7-12,2,6,12CHE 03,HCC,G6
140503,2019,2019 Year 7-12,3,6,10SCI 01,SLP,G7
139842,2019,2019 Year 7-12,1,2,11MAG 01,JZP,LS1
140273,2019,2019 Year 7-12,2,7,10VAR 01,RJA,AC1
140601,2019,2019 Year 7-12,4,1,09PHO 02,TWW,AC4
140166,2019,2019 Year 7-12,2,4,11BIO 01,EKG,G3
140956,2019,2019 Year 7-12,5,4,08SCI 05,SZH,G4
140286,2019,2019 Year 7-12,2,7,08SCI 03,RJD,G6
140594,2019,2019 Year 7-12,4,1,10SCI 01,SLP,G7
139871,2019,2019 Year 7-12,1,3,12ENG 01,JLG,LS1
140342,2019,2019 Year 7-12,3,1,09DES 01,ACM,AC1
139831,2019,2019 Year 7-12,1,1,07VAR 03,ACM,AC5
140263,2019,2019 Year 7-12,2,7,12NUT 01,SML,G3
140996,2019,2019 Year 7-12,5,6,11BIO 03,JXD,G4
140380,2019,2019 Year 7-12,3,2,09SCI 02,JHJ,G6
139906,2019,2019 Year 7-12,1,4,12ELS 01,JMC,LS1
140392,2019,2019 Year 7-12,3,2,07VAR 05,RJA,AC1
139866,2019,2019 Year 7-12,1,2,07VAR 02,ACM,AC5
140553,2019,2019 Year 7-12,3,7,07DRA 03,JLH,DC
140327,2019,2019 Year 7-12,3,1,11BIO 02,SZH,G3
140421,2019,2019 Year 7-12,3,3,08SCI 03,RJD,G6
140626,2019,2019 Year 7-12,4,2,10SCI 01,SLP,G7
140408,2019,2019 Year 7-12,3,3,10VAR 01,RJA,AC1
139927,2019,2019 Year 7-12,1,4,09A2D 01,SS,AC5
140605,2019,2019 Year 7-12,4,1,09DRY 01,JLH,DC
140366,2019,2019 Year 7-12,3,2,11BIO 02,SZH,G3
140457,2019,2019 Year 7-12,3,4,08SCI 03,RJD,G6
140650,2019,2019 Year 7-12,4,3,11PHY 02,SLP,G7
140444,2019,2019 Year 7-12,3,4,10VAR 01,RJA,AC1
139985,2019,2019 Year 7-12,1,6,10DES 01,SS,AC5
140398,2019,2019 Year 7-12,3,3,12NUT 01,SML,G3
141045,2019,2019 Year 7-12,5,7,09SCI 04,EW,G4
140505,2019,2019 Year 7-12,3,6,10SCI 03,SZH,G6
140728,2019,2019 Year 7-12,4,6,12PHY 02,SLP,G7
139948,2019,2019 Year 7-12,1,5,11TUT 01,JLG,LS1
140509,2019,2019 Year 7-12,3,6,09A3D 01,SS,AC1
140033,2019,2019 Year 7-12,1,7,08VAR 03,SS,AC5
140641,2019,2019 Year 7-12,4,2,08DRA 05,JLH,DC
140834,2019,2019 Year 7-12,5,1,10DTS 01,TPR,F1
140434,2019,2019 Year 7-12,3,4,12NUT 01,SML,G3
139820,2019,2019 Year 7-12,1,1,09SCI 02,JHJ,G5
140762,2019,2019 Year 7-12,4,7,12PHY 02,SLP,G7
158537,2019,2019 Year 7-12,1,6,12BIO 02,EKG,LS1
140530,2019,2019 Year 7-12,3,7,11DES 01,RJA,AC1
140124,2019,2019 Year 7-12,2,2,07VAR 05,RJA,AC5
140668,2019,2019 Year 7-12,4,3,08DRA 04,JLH,DC
140873,2019,2019 Year 7-12,5,2,10DTS 01,TPR,F1
140504,2019,2019 Year 7-12,3,6,10SCI 02,EKG,G3
139857,2019,2019 Year 7-12,1,2,09SCI 02,JHJ,G5
140528,2019,2019 Year 7-12,3,7,11CHE 02,HCC,G6
140835,2019,2019 Year 7-12,5,1,10SCE 02,SZH,G7
139780,2019,2019 Year 7-12,1,T,11TUT 01,JLG,LS1
140600,2019,2019 Year 7-12,4,1,09A3D 01,SS,AC1
140158,2019,2019 Year 7-12,2,3,07VAR 04,SS,AC5
140527,2019,2019 Year 7-12,3,7,11BIO 01,EKG,G3
139878,2019,2019 Year 7-12,1,3,11CHE 03,JXD,G5
140596,2019,2019 Year 7-12,4,1,10SCI 03,SZH,G6
140874,2019,2019 Year 7-12,5,2,10SCE 02,SZH,G7
140070,2019,2019 Year 7-12,2,1,11PCA 01,JLG,LS1
140753,2019,2019 Year 7-12,4,6,07VAR 01,SS,AC1
140732,2019,2019 Year 7-12,4,6,11DRA 01,JLH,DC
140997,2019,2019 Year 7-12,5,6,11DTS 01,TPR,F1
140595,2019,2019 Year 7-12,4,1,10SCI 02,EKG,G3
139937,2019,2019 Year 7-12,1,4,08SCI 04,SML,G5
140628,2019,2019 Year 7-12,4,2,10SCI 03,SZH,G6
140902,2019,2019 Year 7-12,5,3,11PHY 02,SLP,G7
140100,2019,2019 Year 7-12,2,2,11GEO 01,DC,LS1
140824,2019,2019 Year 7-12,5,1,11DES 02,RJA,AC1
140766,2019,2019 Year 7-12,4,7,11DRA 01,JLH,DC
140288,2019,2019 Year 7-12,2,7,08DTS 05,JHJ,F2
140627,2019,2019 Year 7-12,4,2,10SCI 02,EKG,G3
139993,2019,2019 Year 7-12,1,6,09SCI 01,JHJ,G5
140643,2019,2019 Year 7-12,4,3,12CHE 02,HCC,G6
140936,2019,2019 Year 7-12,5,4,11PHY 02,SLP,G7
140126,2019,2019 Year 7-12,2,3,12ENG 01,JLG,LS1
140863,2019,2019 Year 7-12,5,2,11DES 02,RJA,AC1
140236,2019,2019 Year 7-12,2,6,10DES 01,SS,AC5
140819,2019,2019 Year 7-12,5,1,12DRA 01,JLH,DC
140507,2019,2019 Year 7-12,3,6,10SCI 05,JHJ,F2
140646,2019,2019 Year 7-12,4,3,12NUT 02,SML,G3
140008,2019,2019 Year 7-12,1,7,12CHE 01,JXD,G5
140731,2019,2019 Year 7-12,4,6,11CHE 01,JXD,G6
141017,2019,2019 Year 7-12,5,6,07SCI 01,EW,G7
140161,2019,2019 Year 7-12,2,4,12ENG 01,JLG,LS1
139812,2019,2019 Year 7-12,1,1,11VAR 01,LRS,AC2
140340,2019,2019 Year 7-12,3,1,09A2D 01,SS,AC5
140858,2019,2019 Year 7-12,5,2,12DRA 01,JLH,DC
140546,2019,2019 Year 7-12,3,7,08DTS 01,JHJ,F2
140724,2019,2019 Year 7-12,4,6,12BIO 03,EKG,G3
140133,2019,2019 Year 7-12,2,3,11CHE 03,JXD,G5
140765,2019,2019 Year 7-12,4,7,11CHE 01,JXD,G6
141036,2019,2019 Year 7-12,5,7,10SCI 01,SLP,G7
140199,2019,2019 Year 7-12,2,5,11TUT 01,JLG,LS1
139840,2019,2019 Year 7-12,1,2,12VAR 02,LRS,AC2
140391,2019,2019 Year 7-12,3,2,07VAR 04,SS,AC5
140758,2019,2019 Year 7-12,4,7,12BIO 03,EKG,G3
140168,2019,2019 Year 7-12,2,4,11CHE 03,JXD,G5
140818,2019,2019 Year 7-12,5,1,12CHE 03,HCC,G6
139860,2019,2019 Year 7-12,1,2,08SCI 01,EW,G8
158551,2019,2019 Year 7-12,2,6,12BIO 02,EKG,LS1
139918,2019,2019 Year 7-12,1,4,11PHO 01,LRS,AC2
140551,2019,2019 Year 7-12,3,7,07VAR 01,SS,AC5
140925,2019,2019 Year 7-12,5,3,07DRA 03,JLH,DC
140598,2019,2019 Year 7-12,4,1,10SCI 05,JHJ,F2
158579,2019,2019 Year 7-12,5,1,12BIO 02,EKG,G3
140244,2019,2019 Year 7-12,2,6,09SCI 01,JHJ,G5
140857,2019,2019 Year 7-12,5,2,12CHE 03,HCC,G6
139874,2019,2019 Year 7-12,1,3,12PHY 01,RJD,G8
140266,2019,2019 Year 7-12,2,7,11MAG 01,JZP,LS1
140019,2019,2019 Year 7-12,1,7,11VAR 02,RJA,AC2
140665,2019,2019 Year 7-12,4,3,08VAR 01,SS,AC5
140955,2019,2019 Year 7-12,5,4,08DRA 04,JLH,DC
158582,2019,2019 Year 7-12,5,2,12BIO 02,EKG,G3
140895,2019,2019 Year 7-12,5,3,12CHE 02,HCC,G6
139919,2019,2019 Year 7-12,1,4,11PHY 01,RJD,G8
140102,2019,2019 Year 7-12,2,2,11VAR 01,LRS,AC2
140754,2019,2019 Year 7-12,4,6,07VAR 02,ACM,AC5
140898,2019,2019 Year 7-12,5,3,12NUT 02,SML,G3
140384,2019,2019 Year 7-12,3,2,08SCI 02,SML,G5
140929,2019,2019 Year 7-12,5,4,12CHE 02,HCC,G6
140006,2019,2019 Year 7-12,1,6,07SCI 04,JZB,G8
140046,2019,2019 Year 7-12,2,T,11TUT 01,JLG,LS1
140264,2019,2019 Year 7-12,2,7,12VAR 02,LRS,AC2
140789,2019,2019 Year 7-12,4,7,07VAR 03,ACM,AC5
141018,2019,2019 Year 7-12,5,6,07DRA 02,JLH,DC
140630,2019,2019 Year 7-12,4,2,10SCI 05,JHJ,F2
140932,2019,2019 Year 7-12,5,4,12NUT 02,SML,G3
140428,2019,2019 Year 7-12,3,3,07SCI 05,JHJ,G5
141009,2019,2019 Year 7-12,5,6,09SCI 02,JHJ,G6
140129,2019,2019 Year 7-12,2,3,12PHY 01,RJD,G8
140319,2019,2019 Year 7-12,3,1,12ELS 01,JMC,LS1
140331,2019,2019 Year 7-12,3,1,11PHO 01,LRS,AC2
140833,2019,2019 Year 7-12,5,1,10DES 01,SS,AC5
139837,2019,2019 Year 7-12,1,2,12DTS 01,TPR,F1
140667,2019,2019 Year 7-12,4,3,08DTS 03,JHJ,F2
140995,2019,2019 Year 7-12,5,6,11BIO 02,SZH,G3
140464,2019,2019 Year 7-12,3,4,07SCI 05,JHJ,G5
141038,2019,2019 Year 7-12,5,7,10SCI 03,SZH,G6
140164,2019,2019 Year 7-12,2,4,12PHY 01,RJD,G8
140358,2019,2019 Year 7-12,3,2,12ELS 01,JMC,LS1
140872,2019,2019 Year 7-12,5,2,10DES 01,SS,AC5
139916,2019,2019 Year 7-12,1,4,11DTS 01,TPR,F1
140529,2019,2019 Year 7-12,3,7,11CHE 03,JXD,G5
140249,2019,2019 Year 7-12,2,6,08SCI 02,SML,G8
140401,2019,2019 Year 7-12,3,3,11MAG 01,JZP,LS1
140370,2019,2019 Year 7-12,3,2,11PHO 01,LRS,AC2
140920,2019,2019 Year 7-12,5,3,08VAR 03,SS,AC5
141037,2019,2019 Year 7-12,5,7,10SCI 02,EKG,G3
140640,2019,2019 Year 7-12,4,2,08SCI 04,SML,G5
139804,2019,2019 Year 7-12,1,1,12PHY 02,SLP,G7
140284,2019,2019 Year 7-12,2,7,08SCI 01,EW,G8
140437,2019,2019 Year 7-12,3,4,11MAG 01,JZP,LS1
140399,2019,2019 Year 7-12,3,3,12VAR 02,LRS,AC2
140952,2019,2019 Year 7-12,5,4,08VAR 01,SS,AC5
139821,2019,2019 Year 7-12,1,1,09SCI 03,GLW,G4
140642,2019,2019 Year 7-12,4,3,12CHE 01,JXD,G5
139851,2019,2019 Year 7-12,1,2,10SCE 01,SLP,G7
140332,2019,2019 Year 7-12,3,1,11PHY 01,RJD,G8
140469,2019,2019 Year 7-12,3,5,11TUT 01,JLG,LS1
