ID,Year,TimetableType,Day,Lesson,Subject,Teacher,Room
139780,2019,2019 Year 7-12,1,T,11TUT 01,JLG,LS1
158526,2019,2019 Year 7-12,1,T,11TUT 03,SZH,LS2
139776,2019,2019 Year 7-12,1,T,12TUT 01,MW,LS5
139781,2019,2019 Year 7-12,1,T,11TUT 02,RJA,LS6
139777,2019,2019 Year 7-12,1,T,12TUT 02,KER,LS7
139778,2019,2019 Year 7-12,1,T,12TUT 03,ALK,LS8
139779,2019,2019 Year 7-12,1,T,12TUT 04,CJC,LS9
139810,2019,2019 Year 7-12,1,1,11GEO 01,DC,LS1
139801,2019,2019 Year 7-12,1,1,12LEG 01,JMC,LS2
139809,2019,2019 Year 7-12,1,1,11ECO 01,KZL,LS5
139802,2019,2019 Year 7-12,1,1,12MAM 02,AEK,LS6
139811,2019,2019 Year 7-12,1,1,11RES 01,BNP,LS7
158527,2019,2019 Year 7-12,1,1,11OED 01,DP,LS9
139842,2019,2019 Year 7-12,1,2,11MAG 01,JZP,LS1
139846,2019,2019 Year 7-12,1,2,11MAM 03,OPT,LS2
139835,2019,2019 Year 7-12,1,2,12ENG 03,JMW,LS3
139847,2019,2019 Year 7-12,1,2,11MAE 01,MAM,LS4
139845,2019,2019 Year 7-12,1,2,11MAM 02,MW,LS5
139843,2019,2019 Year 7-12,1,2,11MAG 02,JNT,LS6
139834,2019,2019 Year 7-12,1,2,12ELS 02,KER,LS7
139838,2019,2019 Year 7-12,1,2,12MAG 03,AKW,LS8
139844,2019,2019 Year 7-12,1,2,11MAM 01,MXC,LS9
139871,2019,2019 Year 7-12,1,3,12ENG 01,JLG,LS1
139872,2019,2019 Year 7-12,1,3,12HIS 01,KZR,LS2
139870,2019,2019 Year 7-12,1,3,12EES 01,JMC,LS3
139873,2019,2019 Year 7-12,1,3,12MAG 01,JNT,LS5
139881,2019,2019 Year 7-12,1,3,11MED 01,KER,LS7
139882,2019,2019 Year 7-12,1,3,11RES 02,SNS,LS8
139906,2019,2019 Year 7-12,1,4,12ELS 01,JMC,LS1
158534,2019,2019 Year 7-12,1,4,12EAL 01,FAL,LS3
139909,2019,2019 Year 7-12,1,4,12MAE 01,AJM,LS4
139908,2019,2019 Year 7-12,1,4,12MAG 02,MW,LS5
139905,2019,2019 Year 7-12,1,4,12ACC 01,KZL,LS6
139917,2019,2019 Year 7-12,1,4,11MAS 01,JNT,LS7
139920,2019,2019 Year 7-12,1,4,11RES 03,SAM,LS8
151738,2019,2019 Year 7-12,1,4,12PSY 01,IMA,LS9
139948,2019,2019 Year 7-12,1,5,11TUT 01,JLG,LS1
158535,2019,2019 Year 7-12,1,5,11TUT 03,SZH,LS2
139944,2019,2019 Year 7-12,1,5,12TUT 01,MW,LS5
139949,2019,2019 Year 7-12,1,5,11TUT 02,RJA,LS6
139945,2019,2019 Year 7-12,1,5,12TUT 02,KER,LS7
139946,2019,2019 Year 7-12,1,5,12TUT 03,ALK,LS8
139947,2019,2019 Year 7-12,1,5,12TUT 04,CJC,LS9
158537,2019,2019 Year 7-12,1,6,12BIO 02,EKG,LS1
139977,2019,2019 Year 7-12,1,6,11HIS 01,KZR,LS2
139972,2019,2019 Year 7-12,1,6,12GEO 01,DC,LS3
158538,2019,2019 Year 7-12,1,6,12CHI 01,FAL,LS4
139973,2019,2019 Year 7-12,1,6,12MAM 01,MXC,LS5
139975,2019,2019 Year 7-12,1,6,11ACC 01,KZL,LS6
139981,2019,2019 Year 7-12,1,6,11RES 06,FMO,LS8
139980,2019,2019 Year 7-12,1,6,11RES 05,SNS,LS9
140014,2019,2019 Year 7-12,1,7,11LEG 01,JMC,LS2
140011,2019,2019 Year 7-12,1,7,12MED 01,KER,LS3
140010,2019,2019 Year 7-12,1,7,12ECO 01,KZL,LS6
140018,2019,2019 Year 7-12,1,7,11RES 04,JDP,LS8
151739,2019,2019 Year 7-12,1,7,11PSY 01,IMA,LS9
140046,2019,2019 Year 7-12,2,T,11TUT 01,JLG,LS1
158539,2019,2019 Year 7-12,2,T,11TUT 03,SZH,LS2
140042,2019,2019 Year 7-12,2,T,12TUT 01,MW,LS5
140047,2019,2019 Year 7-12,2,T,11TUT 02,RJA,LS6
140043,2019,2019 Year 7-12,2,T,12TUT 02,KER,LS7
140044,2019,2019 Year 7-12,2,T,12TUT 03,ALK,LS8
140045,2019,2019 Year 7-12,2,T,12TUT 04,CJC,LS9
140070,2019,2019 Year 7-12,2,1,11PCA 01,JLG,LS1
158540,2019,2019 Year 7-12,2,1,11PCA 03,SZH,LS2
140066,2019,2019 Year 7-12,2,1,12PCA 01,MW,LS5
140071,2019,2019 Year 7-12,2,1,11PCA 02,RJA,LS6
140067,2019,2019 Year 7-12,2,1,12PCA 02,KER,LS7
140068,2019,2019 Year 7-12,2,1,12PCA 03,ALK,LS8
140069,2019,2019 Year 7-12,2,1,12PCA 04,CJC,LS9
140100,2019,2019 Year 7-12,2,2,11GEO 01,DC,LS1
140091,2019,2019 Year 7-12,2,2,12LEG 01,JMC,LS2
140099,2019,2019 Year 7-12,2,2,11ECO 01,KZL,LS5
140092,2019,2019 Year 7-12,2,2,12MAM 02,AEK,LS6
140101,2019,2019 Year 7-12,2,2,11RES 01,BNP,LS7
158541,2019,2019 Year 7-12,2,2,11OED 01,DP,LS9
140126,2019,2019 Year 7-12,2,3,12ENG 01,JLG,LS1
140127,2019,2019 Year 7-12,2,3,12HIS 01,KZR,LS2
140125,2019,2019 Year 7-12,2,3,12EES 01,JMC,LS3
140128,2019,2019 Year 7-12,2,3,12MAG 01,JNT,LS5
140136,2019,2019 Year 7-12,2,3,11MED 01,KER,LS7
140137,2019,2019 Year 7-12,2,3,11RES 02,SNS,LS8
140161,2019,2019 Year 7-12,2,4,12ENG 01,JLG,LS1
140162,2019,2019 Year 7-12,2,4,12HIS 01,KZR,LS2
140160,2019,2019 Year 7-12,2,4,12EES 01,JMC,LS3
140163,2019,2019 Year 7-12,2,4,12MAG 01,JNT,LS5
140171,2019,2019 Year 7-12,2,4,11MED 01,KER,LS7
140172,2019,2019 Year 7-12,2,4,11RES 02,SNS,LS8
140199,2019,2019 Year 7-12,2,5,11TUT 01,JLG,LS1
158549,2019,2019 Year 7-12,2,5,11TUT 03,SZH,LS2
140195,2019,2019 Year 7-12,2,5,12TUT 01,MW,LS5
140200,2019,2019 Year 7-12,2,5,11TUT 02,RJA,LS6
140196,2019,2019 Year 7-12,2,5,12TUT 02,KER,LS7
140197,2019,2019 Year 7-12,2,5,12TUT 03,ALK,LS8
140198,2019,2019 Year 7-12,2,5,12TUT 04,CJC,LS9
158551,2019,2019 Year 7-12,2,6,12BIO 02,EKG,LS1
140228,2019,2019 Year 7-12,2,6,11HIS 01,KZR,LS2
140223,2019,2019 Year 7-12,2,6,12GEO 01,DC,LS3
158552,2019,2019 Year 7-12,2,6,12CHI 01,FAL,LS4
140224,2019,2019 Year 7-12,2,6,12MAM 01,MXC,LS5
140226,2019,2019 Year 7-12,2,6,11ACC 01,KZL,LS6
140232,2019,2019 Year 7-12,2,6,11RES 06,FMO,LS8
140231,2019,2019 Year 7-12,2,6,11RES 05,SNS,LS9
140266,2019,2019 Year 7-12,2,7,11MAG 01,JZP,LS1
140270,2019,2019 Year 7-12,2,7,11MAM 03,OPT,LS2
140259,2019,2019 Year 7-12,2,7,12ENG 03,JMW,LS3
140271,2019,2019 Year 7-12,2,7,11MAE 01,MAM,LS4
140269,2019,2019 Year 7-12,2,7,11MAM 02,MW,LS5
140267,2019,2019 Year 7-12,2,7,11MAG 02,JNT,LS6
140258,2019,2019 Year 7-12,2,7,12ELS 02,KER,LS7
140262,2019,2019 Year 7-12,2,7,12MAG 03,AKW,LS8
140268,2019,2019 Year 7-12,2,7,11MAM 01,MXC,LS9
140298,2019,2019 Year 7-12,3,T,11TUT 01,JLG,LS1
158557,2019,2019 Year 7-12,3,T,11TUT 03,SZH,LS2
140294,2019,2019 Year 7-12,3,T,12TUT 01,MW,LS5
140299,2019,2019 Year 7-12,3,T,11TUT 02,RJA,LS6
140295,2019,2019 Year 7-12,3,T,12TUT 02,KER,LS7
140296,2019,2019 Year 7-12,3,T,12TUT 03,ALK,LS8
140297,2019,2019 Year 7-12,3,T,12TUT 04,CJC,LS9
140319,2019,2019 Year 7-12,3,1,12ELS 01,JMC,LS1
158558,2019,2019 Year 7-12,3,1,12EAL 01,FAL,LS3
140322,2019,2019 Year 7-12,3,1,12MAE 01,AJM,LS4
140321,2019,2019 Year 7-12,3,1,12MAG 02,MW,LS5
140318,2019,2019 Year 7-12,3,1,12ACC 01,KZL,LS6
140330,2019,2019 Year 7-12,3,1,11MAS 01,JNT,LS7
140333,2019,2019 Year 7-12,3,1,11RES 03,SAM,LS8
151740,2019,2019 Year 7-12,3,1,12PSY 01,IMA,LS9
140358,2019,2019 Year 7-12,3,2,12ELS 01,JMC,LS1
158559,2019,2019 Year 7-12,3,2,12EAL 01,FAL,LS3
140361,2019,2019 Year 7-12,3,2,12MAE 01,AJM,LS4
140360,2019,2019 Year 7-12,3,2,12MAG 02,MW,LS5
140357,2019,2019 Year 7-12,3,2,12ACC 01,KZL,LS6
140369,2019,2019 Year 7-12,3,2,11MAS 01,JNT,LS7
140372,2019,2019 Year 7-12,3,2,11RES 03,SAM,LS8
151741,2019,2019 Year 7-12,3,2,12PSY 01,IMA,LS9
140401,2019,2019 Year 7-12,3,3,11MAG 01,JZP,LS1
140405,2019,2019 Year 7-12,3,3,11MAM 03,OPT,LS2
140394,2019,2019 Year 7-12,3,3,12ENG 03,JMW,LS3
140406,2019,2019 Year 7-12,3,3,11MAE 01,MAM,LS4
140404,2019,2019 Year 7-12,3,3,11MAM 02,MW,LS5
140402,2019,2019 Year 7-12,3,3,11MAG 02,JNT,LS6
140393,2019,2019 Year 7-12,3,3,12ELS 02,KER,LS7
140397,2019,2019 Year 7-12,3,3,12MAG 03,AKW,LS8
140403,2019,2019 Year 7-12,3,3,11MAM 01,MXC,LS9
140437,2019,2019 Year 7-12,3,4,11MAG 01,JZP,LS1
140441,2019,2019 Year 7-12,3,4,11MAM 03,OPT,LS2
140430,2019,2019 Year 7-12,3,4,12ENG 03,JMW,LS3
140442,2019,2019 Year 7-12,3,4,11MAE 01,MAM,LS4
140440,2019,2019 Year 7-12,3,4,11MAM 02,MW,LS5
140438,2019,2019 Year 7-12,3,4,11MAG 02,JNT,LS6
140429,2019,2019 Year 7-12,3,4,12ELS 02,KER,LS7
140433,2019,2019 Year 7-12,3,4,12MAG 03,AKW,LS8
140439,2019,2019 Year 7-12,3,4,11MAM 01,MXC,LS9
140469,2019,2019 Year 7-12,3,5,11TUT 01,JLG,LS1
158568,2019,2019 Year 7-12,3,5,11TUT 03,SZH,LS2
140465,2019,2019 Year 7-12,3,5,12TUT 01,MW,LS5
140470,2019,2019 Year 7-12,3,5,11TUT 02,RJA,LS6
140466,2019,2019 Year 7-12,3,5,12TUT 02,KER,LS7
140467,2019,2019 Year 7-12,3,5,12TUT 03,ALK,LS8
140468,2019,2019 Year 7-12,3,5,12TUT 04,CJC,LS9
140499,2019,2019 Year 7-12,3,6,11ENG 02,JLG,LS1
140489,2019,2019 Year 7-12,3,6,12ENG 02,NJB,LS2
140493,2019,2019 Year 7-12,3,6,12TOU 01,DC,LS3
140497,2019,2019 Year 7-12,3,6,11ENE 01,MZS,LS4
140490,2019,2019 Year 7-12,3,6,12MAS 01,MW,LS5
140500,2019,2019 Year 7-12,3,6,11ENG 03,JMW,LS6
140498,2019,2019 Year 7-12,3,6,11ENG 01,KER,LS7
140501,2019,2019 Year 7-12,3,6,11ENG 04,KCG,LS8
151742,2019,2019 Year 7-12,3,6,10SCI 04,IMA,LS9
140522,2019,2019 Year 7-12,3,7,12ENG 01,JLG,LS1
140523,2019,2019 Year 7-12,3,7,12HIS 01,KZR,LS2
140521,2019,2019 Year 7-12,3,7,12EES 01,JMC,LS3
140524,2019,2019 Year 7-12,3,7,12MAG 01,JNT,LS5
140532,2019,2019 Year 7-12,3,7,11MED 01,KER,LS7
140533,2019,2019 Year 7-12,3,7,11RES 02,SNS,LS8
140560,2019,2019 Year 7-12,4,T,11TUT 01,JLG,LS1
158571,2019,2019 Year 7-12,4,T,11TUT 03,SZH,LS2
140556,2019,2019 Year 7-12,4,T,12TUT 01,MW,LS5
140561,2019,2019 Year 7-12,4,T,11TUT 02,RJA,LS6
140557,2019,2019 Year 7-12,4,T,12TUT 02,KER,LS7
140558,2019,2019 Year 7-12,4,T,12TUT 03,ALK,LS8
140559,2019,2019 Year 7-12,4,T,12TUT 04,CJC,LS9
140590,2019,2019 Year 7-12,4,1,11ENG 02,JLG,LS1
140580,2019,2019 Year 7-12,4,1,12ENG 02,NJB,LS2
140584,2019,2019 Year 7-12,4,1,12TOU 01,DC,LS3
140588,2019,2019 Year 7-12,4,1,11ENE 01,MZS,LS4
140581,2019,2019 Year 7-12,4,1,12MAS 01,MW,LS5
140591,2019,2019 Year 7-12,4,1,11ENG 03,JMW,LS6
140589,2019,2019 Year 7-12,4,1,11ENG 01,KER,LS7
140592,2019,2019 Year 7-12,4,1,11ENG 04,KCG,LS8
151743,2019,2019 Year 7-12,4,1,10SCI 04,IMA,LS9
140622,2019,2019 Year 7-12,4,2,11ENG 02,JLG,LS1
140612,2019,2019 Year 7-12,4,2,12ENG 02,NJB,LS2
140616,2019,2019 Year 7-12,4,2,12TOU 01,DC,LS3
140620,2019,2019 Year 7-12,4,2,11ENE 01,MZS,LS4
140613,2019,2019 Year 7-12,4,2,12MAS 01,MW,LS5
140623,2019,2019 Year 7-12,4,2,11ENG 03,JMW,LS6
140621,2019,2019 Year 7-12,4,2,11ENG 01,KER,LS7
140624,2019,2019 Year 7-12,4,2,11ENG 04,KCG,LS8
151745,2019,2019 Year 7-12,4,2,10SCI 04,IMA,LS9
140648,2019,2019 Year 7-12,4,3,11LEG 01,JMC,LS2
140645,2019,2019 Year 7-12,4,3,12MED 01,KER,LS3
140644,2019,2019 Year 7-12,4,3,12ECO 01,KZL,LS6
140652,2019,2019 Year 7-12,4,3,11RES 04,JDP,LS8
151746,2019,2019 Year 7-12,4,3,11PSY 01,IMA,LS9
140680,2019,2019 Year 7-12,4,4,11PCA 01,JLG,LS1
158573,2019,2019 Year 7-12,4,4,11PCA 03,JXD,LS2
140676,2019,2019 Year 7-12,4,4,12PCA 01,MW,LS5
140681,2019,2019 Year 7-12,4,4,11PCA 02,RJA,LS6
140677,2019,2019 Year 7-12,4,4,12PCA 02,KER,LS7
140678,2019,2019 Year 7-12,4,4,12PCA 03,ALK,LS8
140679,2019,2019 Year 7-12,4,4,12PCA 04,CJC,LS9
140704,2019,2019 Year 7-12,4,5,11TUT 01,JLG,LS1
158574,2019,2019 Year 7-12,4,5,11TUT 03,JXD,LS2
140700,2019,2019 Year 7-12,4,5,12TUT 01,MW,LS5
140705,2019,2019 Year 7-12,4,5,11TUT 02,RJA,LS6
140701,2019,2019 Year 7-12,4,5,12TUT 02,KER,LS7
140702,2019,2019 Year 7-12,4,5,12TUT 03,ALK,LS8
140703,2019,2019 Year 7-12,4,5,12TUT 04,CJC,LS9
140734,2019,2019 Year 7-12,4,6,11GEO 01,DC,LS1
140725,2019,2019 Year 7-12,4,6,12LEG 01,JMC,LS2
140733,2019,2019 Year 7-12,4,6,11ECO 01,KZL,LS5
140726,2019,2019 Year 7-12,4,6,12MAM 02,AEK,LS6
140735,2019,2019 Year 7-12,4,6,11RES 01,BNP,LS7
158575,2019,2019 Year 7-12,4,6,11OED 01,DP,LS9
140768,2019,2019 Year 7-12,4,7,11GEO 01,DC,LS1
140759,2019,2019 Year 7-12,4,7,12LEG 01,JMC,LS2
140767,2019,2019 Year 7-12,4,7,11ECO 01,KZL,LS5
